;price;brand;model;year;mileage;state;color_simple;condition_simple
0;6300.0;toyota;cruiser;2008;274117.0;new jersey;black;10 days left
1;2899.0;ford;se;2011;190552.0;tennessee;silver;6 days left
2;5350.0;dodge;mpv;2018;39590.0;georgia;silver;2 days left
4;27700.0;chevrolet;1500;2018;6654.0;florida;red;Less than one day left
5;5700.0;dodge;mpv;2018;45561.0;texas;white;2 days left
6;7300.0;chevrolet;pk;2010;149050.0;georgia;black;Less than one day left
8;14600.0;chevrolet;malibu;2018;9371.0;florida;silver;Less than one day left
9;5250.0;ford;mpv;2017;63418.0;texas;black;2 days left
10;10400.0;dodge;coupe;2009;107856.0;georgia;orange;Less than one day left
11;12920.0;gmc;mpv;2017;39650.0;california;white;Less than one day left
12;31900.0;chevrolet;1500;2018;22909.0;tennessee;black;Less than one day left
13;5430.0;chrysler;wagon;2017;138650.0;texas;gray;2 days left
16;5200.0;kia;forte;2018;46194.0;north carolina;black;2 days left
17;16500.0;buick;encore;2018;20002.0;tennessee;red;Less than one day left
18;5210.0;ford;mpv;2017;35714.0;texas;white;2 days left
21;7300.0;kia;forte;2018;38823.0;north carolina;black;2 days left
23;6180.0;ford;mpv;2017;46010.0;texas;black;2 days left
26;21500.0;kia;sorento;2020;11451.0;north carolina;black;2 days left
28;4190.0;ford;doors;2017;44174.0;texas;white;2 days left
29;13000.0;ford;chassis;2008;93698.0;tennessee;white;Less than one day left
31;18500.0;infiniti;q70;2016;71967.0;new york;gray;Less than one day left
32;29800.0;chevrolet;camaro;1973;46226.0;pennsylvania;red;Less than one day left
33;5330.0;ford;mpv;2017;37792.0;texas;;2 days left
34;13000.0;ford;convertible;2003;58817.0;virginia;gray;Less than one day left
36;16600.0;mercedes-benz;vans;2016;110907.0;new york;white;Less than one day left
37;19200.0;chevrolet;1500;2018;2430.0;tennessee;white;Less than one day left
38;7320.0;ford;mpv;2017;32366.0;texas;gold;2 days left
39;7000.0;ford;pk;2003;176567.0;tennessee;white;Less than one day left
41;16600.0;mercedes-benz;vans;2016;97983.0;new york;white;Less than one day left
42;30500.0;chevrolet;1500;2018;30442.0;tennessee;red;Less than one day left
43;6330.0;ford;mpv;2017;38123.0;texas;red;2 days left
44;55000.0;ford;srw;2017;15273.0;pennsylvania;black;3 days left
46;16200.0;jeep;compass;2019;30061.0;north carolina;red;2 days left
47;19000.0;chevrolet;malibu;2017;18414.0;tennessee;white;Less than one day left
48;5580.0;dodge;mpv;2017;46829.0;texas;gray;2 days left
49;54000.0;ford;srw;2017;26241.0;pennsylvania;black;3 days left
50;12710.0;gmc;mpv;2017;39886.0;california;red;Less than one day left
51;16000.0;jeep;compass;2019;31594.0;north carolina;silver;2 days left
52;27000.0;buick;enclave;2017;32107.0;tennessee;;Less than one day left
53;7760.0;ford;mpv;2017;44794.0;texas;gray;2 days left
54;19600.0;chrysler;300;2019;42648.0;south carolina;gray;Less than one day left
55;12920.0;gmc;mpv;2017;39165.0;california;silver;Less than one day left
56;20000.0;jeep;cherokee;2019;38355.0;north carolina;gray;2 days left
58;23000.0;chrysler;pacifica;2020;2473.0;ohio;white;2 days left
59;18500.0;chrysler;300;2019;38586.0;south carolina;gray;Less than one day left
61;20700.0;jeep;cherokee;2019;31156.0;north carolina;white;2 days left
64;29100.0;chrysler;pacifica;2019;25281.0;south carolina;red;Less than one day left
